GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021400015,7,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,10,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,21.0,241.0,1,0,20141029,POR,OKC
Shot Chart Detail,0021400015,44,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,7,42,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17.0,-108.0,135.0,1,1,20141029,POR,OKC
Shot Chart Detail,0021400015,49,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,6,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-8.0,0.0,1,1,20141029,POR,OKC
Shot Chart Detail,0021400015,56,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,5,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-218.0,113.0,1,1,20141029,POR,OKC
Shot Chart Detail,0021400015,202,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,6,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,102.0,219.0,1,0,20141029,POR,OKC
Shot Chart Detail,0021400015,278,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,0,49,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22.0,226.0,17.0,1,0,20141029,POR,OKC
Shot Chart Detail,0021400015,283,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,0,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,0.0,1.0,1,1,20141029,POR,OKC
Shot Chart Detail,0021400015,289,202083,Wesley Matthews,1610612757,Portland Trail Blazers,3,11,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-160.0,189.0,1,0,20141029,POR,OKC
Shot Chart Detail,0021400015,351,202083,Wesley Matthews,1610612757,Portland Trail Blazers,3,5,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,222.0,104.0,1,1,20141029,POR,OKC
Shot Chart Detail,0021400015,419,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,11,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-163.0,183.0,1,1,20141029,POR,OKC
Shot Chart Detail,0021400015,485,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,3,35,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,233.0,0.0,1,1,20141029,POR,OKC
Shot Chart Detail,0021400015,488,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,3,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,182.0,162.0,1,1,20141029,POR,OKC
Shot Chart Detail,0021400025,2,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,11,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25.0,110.0,228.0,1,0,20141031,SAC,POR
Shot Chart Detail,0021400025,11,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,11,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,7.0,1.0,1,1,20141031,SAC,POR
Shot Chart Detail,0021400025,55,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,4,39,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6.0,-57.0,31.0,1,1,20141031,SAC,POR
Shot Chart Detail,0021400025,62,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,3,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14.0,146.0,11.0,1,0,20141031,SAC,POR
Shot Chart Detail,0021400025,171,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,7,14,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-231.0,56.0,1,0,20141031,SAC,POR
Shot Chart Detail,0021400025,206,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,4,54,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,26.0,36.0,1,1,20141031,SAC,POR
Shot Chart Detail,0021400025,226,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,2,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,26.0,14.0,1,1,20141031,SAC,POR
Shot Chart Detail,0021400025,276,202083,Wesley Matthews,1610612757,Portland Trail Blazers,3,10,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,65.0,236.0,1,0,20141031,SAC,POR
Shot Chart Detail,0021400025,322,202083,Wesley Matthews,1610612757,Portland Trail Blazers,3,3,59,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,9.0,42.0,1,1,20141031,SAC,POR
Shot Chart Detail,0021400025,370,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,11,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-130.0,203.0,1,1,20141031,SAC,POR
Shot Chart Detail,0021400025,374,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,10,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25.0,10.0,250.0,1,0,20141031,SAC,POR
Shot Chart Detail,0021400025,436,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,5,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,-30.0,239.0,1,0,20141031,SAC,POR
Shot Chart Detail,0021400025,496,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,1,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,-40.0,246.0,1,0,20141031,SAC,POR
Shot Chart Detail,0021400025,509,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,1,11,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,4.0,3.0,1,1,20141031,SAC,POR
Shot Chart Detail,0021400042,4,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,11,29,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17.0,170.0,4.0,1,0,20141102,POR,GSW
Shot Chart Detail,0021400042,7,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,11,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,17.0,-6.0,1,1,20141102,POR,GSW
Shot Chart Detail,0021400042,20,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,10,8,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,237.0,14.0,1,0,20141102,POR,GSW
Shot Chart Detail,0021400042,39,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,9,2,Made Shot,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7.0,-67.0,31.0,1,1,20141102,POR,GSW
Shot Chart Detail,0021400042,64,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,6,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,42.0,242.0,1,0,20141102,POR,GSW
Shot Chart Detail,0021400042,192,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,6,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,18.0,3.0,1,1,20141102,POR,GSW
Shot Chart Detail,0021400042,200,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,6,27,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-223.0,110.0,1,1,20141102,POR,GSW
Shot Chart Detail,0021400042,205,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,5,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,36.0,242.0,1,0,20141102,POR,GSW
Shot Chart Detail,0021400042,224,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,3,49,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-231.0,19.0,1,1,20141102,POR,GSW
Shot Chart Detail,0021400042,238,202083,Wesley Matthews,1610612757,Portland Trail Blazers,2,2,55,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20.0,-152.0,134.0,1,0,20141102,POR,GSW
Shot Chart Detail,0021400042,301,202083,Wesley Matthews,1610612757,Portland Trail Blazers,3,9,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,181.0,170.0,1,0,20141102,POR,GSW
Shot Chart Detail,0021400042,355,202083,Wesley Matthews,1610612757,Portland Trail Blazers,3,4,31,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-82.0,233.0,1,0,20141102,POR,GSW
Shot Chart Detail,0021400042,411,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,10,23,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,9.0,-2.0,1,1,20141102,POR,GSW
Shot Chart Detail,0021400042,413,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,9,48,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-228.0,64.0,1,1,20141102,POR,GSW
Shot Chart Detail,0021400042,532,202083,Wesley Matthews,1610612757,Portland Trail Blazers,4,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26.0,207.0,160.0,1,0,20141102,POR,GSW
Shot Chart Detail,0021400055,11,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,10,30,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-4.0,1.0,1,1,20141104,POR,CLE
Shot Chart Detail,0021400055,15,202083,Wesley Matthews,1610612757,Portland Trail Blazers,1,10,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-2.0,-5.0,1,1,20141104,POR,CLE
