GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021400011,7,2746,Josh Smith,1610612765,Detroit Pistons,1,11,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18.0,80.0,162.0,1,1,20141029,DEN,DET
Shot Chart Detail,0021400011,9,2746,Josh Smith,1610612765,Detroit Pistons,1,10,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,26.0,241.0,1,0,20141029,DEN,DET
Shot Chart Detail,0021400011,25,2746,Josh Smith,1610612765,Detroit Pistons,1,9,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18.0,65.0,175.0,1,0,20141029,DEN,DET
Shot Chart Detail,0021400011,33,2746,Josh Smith,1610612765,Detroit Pistons,1,7,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,20.0,-6.0,1,1,20141029,DEN,DET
Shot Chart Detail,0021400011,53,2746,Josh Smith,1610612765,Detroit Pistons,1,6,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18.0,136.0,126.0,1,1,20141029,DEN,DET
Shot Chart Detail,0021400011,73,2746,Josh Smith,1610612765,Detroit Pistons,1,5,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17.0,-16.0,175.0,1,1,20141029,DEN,DET
Shot Chart Detail,0021400011,107,2746,Josh Smith,1610612765,Detroit Pistons,1,2,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15.0,-158.0,17.0,1,0,20141029,DEN,DET
Shot Chart Detail,0021400011,110,2746,Josh Smith,1610612765,Detroit Pistons,1,2,15,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9.0,17.0,97.0,1,0,20141029,DEN,DET
Shot Chart Detail,0021400011,112,2746,Josh Smith,1610612765,Detroit Pistons,1,2,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-23.0,-2.0,1,1,20141029,DEN,DET
Shot Chart Detail,0021400011,132,2746,Josh Smith,1610612765,Detroit Pistons,1,0,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18.0,-116.0,142.0,1,1,20141029,DEN,DET
