GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022500004,21,1629023,P.J. Washington,1610612742,Dallas Mavericks,1,10,40,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,27,1,1,20251022,DAL,SAS
Shot Chart Detail,0022500004,231,1629023,P.J. Washington,1610612742,Dallas Mavericks,2,10,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,120,110,1,1,20251022,DAL,SAS
Shot Chart Detail,0022500004,235,1629023,P.J. Washington,1610612742,Dallas Mavericks,2,9,37,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,43,1,1,20251022,DAL,SAS
Shot Chart Detail,0022500004,270,1629023,P.J. Washington,1610612742,Dallas Mavericks,2,7,13,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-239,42,1,0,20251022,DAL,SAS
Shot Chart Detail,0022500004,321,1629023,P.J. Washington,1610612742,Dallas Mavericks,2,4,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-208,151,1,1,20251022,DAL,SAS
Shot Chart Detail,0022500004,423,1629023,P.J. Washington,1610612742,Dallas Mavericks,3,9,40,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-9,69,1,1,20251022,DAL,SAS
Shot Chart Detail,0022500004,439,1629023,P.J. Washington,1610612742,Dallas Mavericks,3,8,24,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,45,26,1,1,20251022,DAL,SAS
Shot Chart Detail,0022500004,500,1629023,P.J. Washington,1610612742,Dallas Mavericks,3,4,7,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,13,1,0,20251022,DAL,SAS
Shot Chart Detail,0022500004,631,1629023,P.J. Washington,1610612742,Dallas Mavericks,4,6,57,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,107,55,1,1,20251022,DAL,SAS
Shot Chart Detail,0022500004,642,1629023,P.J. Washington,1610612742,Dallas Mavericks,4,5,44,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,70,59,1,0,20251022,DAL,SAS
Shot Chart Detail,0022500004,658,1629023,P.J. Washington,1610612742,Dallas Mavericks,4,4,11,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-51,14,1,0,20251022,DAL,SAS
Shot Chart Detail,0022500011,26,1629023,P.J. Washington,1610612742,Dallas Mavericks,1,10,24,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,9,1,1,20251225,GSW,DAL
Shot Chart Detail,0022500011,176,1629023,P.J. Washington,1610612742,Dallas Mavericks,1,1,40,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,28,1,0,20251225,GSW,DAL
Shot Chart Detail,0022500011,181,1629023,P.J. Washington,1610612742,Dallas Mavericks,1,1,13,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,27,55,1,0,20251225,GSW,DAL
Shot Chart Detail,0022500011,209,1629023,P.J. Washington,1610612742,Dallas Mavericks,2,11,50,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,20,1,0,20251225,GSW,DAL
Shot Chart Detail,0022500011,391,1629023,P.J. Washington,1610612742,Dallas Mavericks,3,9,58,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-5,104,1,0,20251225,GSW,DAL
Shot Chart Detail,0022500011,424,1629023,P.J. Washington,1610612742,Dallas Mavericks,3,7,6,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,4,62,1,1,20251225,GSW,DAL
Shot Chart Detail,0022500011,468,1629023,P.J. Washington,1610612742,Dallas Mavericks,3,3,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,8,1,1,20251225,GSW,DAL
Shot Chart Detail,0022500011,570,1629023,P.J. Washington,1610612742,Dallas Mavericks,4,9,29,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,34,18,1,1,20251225,GSW,DAL
Shot Chart Detail,0022500011,599,1629023,P.J. Washington,1610612742,Dallas Mavericks,4,8,6,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,20,59,1,0,20251225,GSW,DAL
Shot Chart Detail,0022500011,703,1629023,P.J. Washington,1610612742,Dallas Mavericks,4,1,19,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20251225,GSW,DAL
Shot Chart Detail,0022500011,708,1629023,P.J. Washington,1610612742,Dallas Mavericks,4,1,11,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,13,1,1,20251225,GSW,DAL
Shot Chart Detail,0022500011,716,1629023,P.J. Washington,1610612742,Dallas Mavericks,4,0,15,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,13,1,1,20251225,GSW,DAL
Shot Chart Detail,0022500034,7,1629023,P.J. Washington,1610612742,Dallas Mavericks,1,11,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-142,217,1,0,20251107,MEM,DAL
Shot Chart Detail,0022500034,11,1629023,P.J. Washington,1610612742,Dallas Mavericks,1,11,5,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,11,1,1,20251107,MEM,DAL
Shot Chart Detail,0022500034,15,1629023,P.J. Washington,1610612742,Dallas Mavericks,1,10,25,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,13,1,0,20251107,MEM,DAL
