GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000008,92,2230,Maurice Evans,1610612737,Atlanta Hawks,1,2,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,15.0,6.0,1,1,20101027,MEM,ATL
Shot Chart Detail,0021000008,102,2230,Maurice Evans,1610612737,Atlanta Hawks,1,1,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-220.0,108.0,1,1,20101027,MEM,ATL
Shot Chart Detail,0021000008,166,2230,Maurice Evans,1610612737,Atlanta Hawks,2,9,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18.0,-117.0,142.0,1,1,20101027,MEM,ATL
Shot Chart Detail,0021000121,76,2230,Maurice Evans,1610612737,Atlanta Hawks,1,1,25,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,237.0,26.0,1,0,20101112,ATL,UTA
Shot Chart Detail,0021000121,78,2230,Maurice Evans,1610612737,Atlanta Hawks,1,1,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-5.0,7.0,1,1,20101112,ATL,UTA
Shot Chart Detail,0021000121,85,2230,Maurice Evans,1610612737,Atlanta Hawks,1,1,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,177.0,172.0,1,0,20101112,ATL,UTA
Shot Chart Detail,0021000121,113,2230,Maurice Evans,1610612737,Atlanta Hawks,2,10,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19.0,-172.0,91.0,1,0,20101112,ATL,UTA
Shot Chart Detail,0021000139,153,2230,Maurice Evans,1610612737,Atlanta Hawks,2,11,10,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24.0,236.0,61.0,1,1,20101114,ATL,MIN
Shot Chart Detail,0021000139,167,2230,Maurice Evans,1610612737,Atlanta Hawks,2,9,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16.0,160.0,15.0,1,1,20101114,ATL,MIN
Shot Chart Detail,0021000139,462,2230,Maurice Evans,1610612737,Atlanta Hawks,4,8,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25.0,113.0,228.0,1,1,20101114,ATL,MIN
