GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200001,101,101110,Martell Webster,1610612764,Washington Wizards,1,1,54,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-232.0,20.0,1,0,20121030,CLE,WAS
Shot Chart Detail,0021200001,103,101110,Martell Webster,1610612764,Washington Wizards,1,1,47,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,231.0,9.0,1,1,20121030,CLE,WAS
Shot Chart Detail,0021200001,129,101110,Martell Webster,1610612764,Washington Wizards,2,11,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20.0,-202.0,41.0,1,1,20121030,CLE,WAS
Shot Chart Detail,0021200001,373,101110,Martell Webster,1610612764,Washington Wizards,3,2,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-166.0,189.0,1,0,20121030,CLE,WAS
Shot Chart Detail,0021200001,409,101110,Martell Webster,1610612764,Washington Wizards,4,10,51,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-5.0,3.0,1,1,20121030,CLE,WAS
Shot Chart Detail,0021200001,466,101110,Martell Webster,1610612764,Washington Wizards,4,5,31,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,4.0,0.0,1,1,20121030,CLE,WAS
Shot Chart Detail,0021200027,134,101110,Martell Webster,1610612764,Washington Wizards,2,9,57,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17.0,-149.0,86.0,1,1,20121103,WAS,BOS
Shot Chart Detail,0021200027,356,101110,Martell Webster,1610612764,Washington Wizards,4,11,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-231.0,7.0,1,0,20121103,WAS,BOS
Shot Chart Detail,0021200027,361,101110,Martell Webster,1610612764,Washington Wizards,4,10,40,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-32.0,-3.0,1,0,20121103,WAS,BOS
Shot Chart Detail,0021200027,388,101110,Martell Webster,1610612764,Washington Wizards,4,8,15,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24.0,239.0,55.0,1,0,20121103,WAS,BOS
Shot Chart Detail,0021200027,401,101110,Martell Webster,1610612764,Washington Wizards,4,7,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26.0,-171.0,201.0,1,0,20121103,WAS,BOS
Shot Chart Detail,0021200027,492,101110,Martell Webster,1610612764,Washington Wizards,4,0,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19.0,-190.0,12.0,1,0,20121103,WAS,BOS
Shot Chart Detail,0021200054,148,101110,Martell Webster,1610612764,Washington Wizards,2,9,1,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-202.0,142.0,1,0,20121107,BOS,WAS
Shot Chart Detail,0021200054,154,101110,Martell Webster,1610612764,Washington Wizards,2,8,16,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,2.0,3.0,1,1,20121107,BOS,WAS
Shot Chart Detail,0021200054,178,101110,Martell Webster,1610612764,Washington Wizards,2,6,36,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-232.0,26.0,1,1,20121107,BOS,WAS
Shot Chart Detail,0021200054,189,101110,Martell Webster,1610612764,Washington Wizards,2,4,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-199.0,142.0,1,0,20121107,BOS,WAS
Shot Chart Detail,0021200054,198,101110,Martell Webster,1610612764,Washington Wizards,2,4,2,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,231.0,36.0,1,1,20121107,BOS,WAS
Shot Chart Detail,0021200054,414,101110,Martell Webster,1610612764,Washington Wizards,4,8,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,4.0,7.0,1,0,20121107,BOS,WAS
Shot Chart Detail,0021200054,445,101110,Martell Webster,1610612764,Washington Wizards,4,5,12,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24.0,-235.0,75.0,1,1,20121107,BOS,WAS
Shot Chart Detail,0021200054,460,101110,Martell Webster,1610612764,Washington Wizards,4,3,5,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-224.0,75.0,1,0,20121107,BOS,WAS
Shot Chart Detail,0021200054,543,101110,Martell Webster,1610612764,Washington Wizards,5,2,36,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11.0,-112.0,19.0,1,1,20121107,BOS,WAS
