GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300006,225,203082,Terrence Ross,1610612761,Toronto Raptors,2,5,1,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14.0,127.0,69.0,1,1,20131030,TOR,BOS
Shot Chart Detail,0021300006,297,203082,Terrence Ross,1610612761,Toronto Raptors,2,0,1,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24.0,241.0,-2.0,1,1,20131030,TOR,BOS
Shot Chart Detail,0021300006,424,203082,Terrence Ross,1610612761,Toronto Raptors,4,11,44,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,-24.0,34.0,1,0,20131030,TOR,BOS
Shot Chart Detail,0021300023,439,203082,Terrence Ross,1610612761,Toronto Raptors,4,7,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-120.0,219.0,1,0,20131101,ATL,TOR
Shot Chart Detail,0021300037,162,203082,Terrence Ross,1610612761,Toronto Raptors,2,8,29,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22.0,228.0,4.0,1,0,20131102,MIL,TOR
Shot Chart Detail,0021300037,164,203082,Terrence Ross,1610612761,Toronto Raptors,2,8,24,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-8.0,-5.0,1,1,20131102,MIL,TOR
Shot Chart Detail,0021300037,211,203082,Terrence Ross,1610612761,Toronto Raptors,2,3,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,231.0,-22.0,1,0,20131102,MIL,TOR
Shot Chart Detail,0021300037,358,203082,Terrence Ross,1610612761,Toronto Raptors,3,3,13,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25.0,-248.0,71.0,1,1,20131102,MIL,TOR
Shot Chart Detail,0021300037,389,203082,Terrence Ross,1610612761,Toronto Raptors,3,1,34,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25.0,-245.0,71.0,1,0,20131102,MIL,TOR
Shot Chart Detail,0021300051,112,203082,Terrence Ross,1610612761,Toronto Raptors,1,0,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25.0,196.0,156.0,1,1,20131105,TOR,MIA
