GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600001,18,2747,JR Smith,1610612739,Cleveland Cavaliers,1,9,59,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-1.0,2.0,1,1,20161025,CLE,NYK
Shot Chart Detail,0021600001,46,2747,JR Smith,1610612739,Cleveland Cavaliers,1,7,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25.0,177.0,178.0,1,1,20161025,CLE,NYK
Shot Chart Detail,0021600001,48,2747,JR Smith,1610612739,Cleveland Cavaliers,1,7,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,89.0,228.0,1,0,20161025,CLE,NYK
Shot Chart Detail,0021600001,58,2747,JR Smith,1610612739,Cleveland Cavaliers,1,6,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-163.0,198.0,1,0,20161025,CLE,NYK
Shot Chart Detail,0021600001,77,2747,JR Smith,1610612739,Cleveland Cavaliers,1,5,16,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18.0,68.0,170.0,1,0,20161025,CLE,NYK
Shot Chart Detail,0021600001,225,2747,JR Smith,1610612739,Cleveland Cavaliers,2,6,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-219.0,120.0,1,1,20161025,CLE,NYK
Shot Chart Detail,0021600001,241,2747,JR Smith,1610612739,Cleveland Cavaliers,2,5,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17.0,68.0,159.0,1,0,20161025,CLE,NYK
Shot Chart Detail,0021600001,257,2747,JR Smith,1610612739,Cleveland Cavaliers,2,3,30,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,233.0,31.0,1,0,20161025,CLE,NYK
Shot Chart Detail,0021600001,274,2747,JR Smith,1610612739,Cleveland Cavaliers,2,2,44,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22.0,228.0,-11.0,1,0,20161025,CLE,NYK
Shot Chart Detail,0021600001,317,2747,JR Smith,1610612739,Cleveland Cavaliers,3,11,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25.0,223.0,131.0,1,0,20161025,CLE,NYK
Shot Chart Detail,0021600001,355,2747,JR Smith,1610612739,Cleveland Cavaliers,3,7,37,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7.0,74.0,28.0,1,0,20161025,CLE,NYK
Shot Chart Detail,0021600001,380,2747,JR Smith,1610612739,Cleveland Cavaliers,3,5,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-147.0,214.0,1,0,20161025,CLE,NYK
Shot Chart Detail,0021600001,384,2747,JR Smith,1610612739,Cleveland Cavaliers,3,5,0,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,20.0,2.0,1,0,20161025,CLE,NYK
