GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600008,63,201158,Marco Belinelli,1610612766,Charlotte Hornets,1,5,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26.0,200.0,180.0,1,0,20161026,MIL,CHA
Shot Chart Detail,0021600008,184,201158,Marco Belinelli,1610612766,Charlotte Hornets,2,6,52,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,-12.0,47.0,1,0,20161026,MIL,CHA
Shot Chart Detail,0021600008,237,201158,Marco Belinelli,1610612766,Charlotte Hornets,2,2,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25.0,171.0,193.0,1,0,20161026,MIL,CHA
Shot Chart Detail,0021600008,354,201158,Marco Belinelli,1610612766,Charlotte Hornets,3,4,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18.0,6.0,188.0,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,393,201158,Marco Belinelli,1610612766,Charlotte Hornets,3,0,54,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15.0,135.0,67.0,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,410,201158,Marco Belinelli,1610612766,Charlotte Hornets,4,11,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17.0,-135.0,111.0,1,0,20161026,MIL,CHA
Shot Chart Detail,0021600008,421,201158,Marco Belinelli,1610612766,Charlotte Hornets,4,10,36,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7.0,-68.0,31.0,1,1,20161026,MIL,CHA
Shot Chart Detail,0021600008,459,201158,Marco Belinelli,1610612766,Charlotte Hornets,4,7,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16.0,161.0,-15.0,1,0,20161026,MIL,CHA
Shot Chart Detail,0021600022,78,201158,Marco Belinelli,1610612766,Charlotte Hornets,1,4,49,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,238.0,21.0,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600022,106,201158,Marco Belinelli,1610612766,Charlotte Hornets,1,1,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16.0,-125.0,100.0,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600022,112,201158,Marco Belinelli,1610612766,Charlotte Hornets,1,1,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15.0,73.0,139.0,1,0,20161028,MIA,CHA
Shot Chart Detail,0021600022,137,201158,Marco Belinelli,1610612766,Charlotte Hornets,2,10,43,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18.0,179.0,46.0,1,0,20161028,MIA,CHA
Shot Chart Detail,0021600022,146,201158,Marco Belinelli,1610612766,Charlotte Hornets,2,10,1,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8.0,-88.0,13.0,1,0,20161028,MIA,CHA
Shot Chart Detail,0021600022,185,201158,Marco Belinelli,1610612766,Charlotte Hornets,2,6,54,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-235.0,11.0,1,0,20161028,MIA,CHA
Shot Chart Detail,0021600022,226,201158,Marco Belinelli,1610612766,Charlotte Hornets,2,4,54,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,20.0,16.0,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600022,412,201158,Marco Belinelli,1610612766,Charlotte Hornets,3,2,1,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24.0,248.0,11.0,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600022,436,201158,Marco Belinelli,1610612766,Charlotte Hornets,4,11,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16.0,51.0,160.0,1,0,20161028,MIA,CHA
Shot Chart Detail,0021600027,53,201158,Marco Belinelli,1610612766,Charlotte Hornets,1,4,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,156.0,185.0,1,0,20161029,CHA,BOS
Shot Chart Detail,0021600027,140,201158,Marco Belinelli,1610612766,Charlotte Hornets,2,9,48,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18.0,164.0,90.0,1,1,20161029,CHA,BOS
Shot Chart Detail,0021600027,162,201158,Marco Belinelli,1610612766,Charlotte Hornets,2,7,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20.0,81.0,185.0,1,0,20161029,CHA,BOS
Shot Chart Detail,0021600027,418,201158,Marco Belinelli,1610612766,Charlotte Hornets,4,11,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20.0,-156.0,134.0,1,0,20161029,CHA,BOS
Shot Chart Detail,0021600027,424,201158,Marco Belinelli,1610612766,Charlotte Hornets,4,10,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25.0,-16.0,254.0,1,0,20161029,CHA,BOS
