GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600010,150,1627750,Jamal Murray,1610612743,Denver Nuggets,1,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20.0,-56.0,198.0,1,0,20161026,NOP,DEN
Shot Chart Detail,0021600010,488,1627750,Jamal Murray,1610612743,Denver Nuggets,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,37.0,4.0,375.0,1,0,20161026,NOP,DEN
Shot Chart Detail,0021600033,169,1627750,Jamal Murray,1610612743,Denver Nuggets,2,9,46,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-20.0,11.0,1,0,20161029,DEN,POR
Shot Chart Detail,0021600033,189,1627750,Jamal Murray,1610612743,Denver Nuggets,2,8,18,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,0.0,31.0,1,0,20161029,DEN,POR
Shot Chart Detail,0021600042,127,1627750,Jamal Murray,1610612743,Denver Nuggets,2,11,0,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11.0,53.0,105.0,1,0,20161031,TOR,DEN
Shot Chart Detail,0021600042,149,1627750,Jamal Murray,1610612743,Denver Nuggets,2,8,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25.0,40.0,247.0,1,0,20161031,TOR,DEN
Shot Chart Detail,0021600042,441,1627750,Jamal Murray,1610612743,Denver Nuggets,4,10,58,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,-40.0,7.0,1,0,20161031,TOR,DEN
Shot Chart Detail,0021600042,499,1627750,Jamal Murray,1610612743,Denver Nuggets,4,6,20,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-5.0,-1.0,1,0,20161031,TOR,DEN
Shot Chart Detail,0021600067,18,1627750,Jamal Murray,1610612743,Denver Nuggets,1,9,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18.0,-66.0,178.0,1,0,20161103,MIN,DEN
Shot Chart Detail,0021600067,45,1627750,Jamal Murray,1610612743,Denver Nuggets,1,7,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,145.0,193.0,1,0,20161103,MIN,DEN
Shot Chart Detail,0021600067,125,1627750,Jamal Murray,1610612743,Denver Nuggets,1,0,0,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10.0,-73.0,70.0,1,0,20161103,MIN,DEN
Shot Chart Detail,0021600067,139,1627750,Jamal Murray,1610612743,Denver Nuggets,2,11,0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22.0,-225.0,16.0,1,0,20161103,MIN,DEN
Shot Chart Detail,0021600067,156,1627750,Jamal Murray,1610612743,Denver Nuggets,2,9,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20.0,-173.0,115.0,1,0,20161103,MIN,DEN
Shot Chart Detail,0021600067,442,1627750,Jamal Murray,1610612743,Denver Nuggets,4,10,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26.0,125.0,232.0,1,0,20161103,MIN,DEN
Shot Chart Detail,0021600067,446,1627750,Jamal Murray,1610612743,Denver Nuggets,4,9,43,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22.0,222.0,51.0,1,0,20161103,MIN,DEN
Shot Chart Detail,0021600067,478,1627750,Jamal Murray,1610612743,Denver Nuggets,4,6,47,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10.0,12.0,105.0,1,0,20161103,MIN,DEN
Shot Chart Detail,0021600082,40,1627750,Jamal Murray,1610612743,Denver Nuggets,1,7,29,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22.0,-227.0,11.0,1,0,20161105,DET,DEN
Shot Chart Detail,0021600082,62,1627750,Jamal Murray,1610612743,Denver Nuggets,1,5,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26.0,-197.0,183.0,1,1,20161105,DET,DEN
Shot Chart Detail,0021600082,222,1627750,Jamal Murray,1610612743,Denver Nuggets,2,3,17,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7.0,20.0,70.0,1,0,20161105,DET,DEN
Shot Chart Detail,0021600082,280,1627750,Jamal Murray,1610612743,Denver Nuggets,3,10,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26.0,-58.0,257.0,1,0,20161105,DET,DEN
Shot Chart Detail,0021600082,283,1627750,Jamal Murray,1610612743,Denver Nuggets,3,10,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,192.0,156.0,1,0,20161105,DET,DEN
Shot Chart Detail,0021600082,456,1627750,Jamal Murray,1610612743,Denver Nuggets,4,7,36,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12.0,-1.0,129.0,1,0,20161105,DET,DEN
