GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500004,69,203932,Aaron Gordon,1610612753,Orlando Magic,1,4,45,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,0.0,1.0,1,1,20151028,ORL,WAS
Shot Chart Detail,0021500004,110,203932,Aaron Gordon,1610612753,Orlando Magic,1,1,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15.0,-19.0,156.0,1,0,20151028,ORL,WAS
Shot Chart Detail,0021500004,117,203932,Aaron Gordon,1610612753,Orlando Magic,1,0,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,30.0,247.0,1,0,20151028,ORL,WAS
Shot Chart Detail,0021500004,132,203932,Aaron Gordon,1610612753,Orlando Magic,1,0,0,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,0.0,1.0,1,1,20151028,ORL,WAS
Shot Chart Detail,0021500004,229,203932,Aaron Gordon,1610612753,Orlando Magic,2,4,9,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-22.0,2.0,1,0,20151028,ORL,WAS
Shot Chart Detail,0021500004,233,203932,Aaron Gordon,1610612753,Orlando Magic,2,3,28,Made Shot,Pullup Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,-47.0,2.0,1,1,20151028,ORL,WAS
Shot Chart Detail,0021500004,455,203932,Aaron Gordon,1610612753,Orlando Magic,4,9,9,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,15.0,-11.0,1,1,20151028,ORL,WAS
Shot Chart Detail,0021500004,479,203932,Aaron Gordon,1610612753,Orlando Magic,4,7,16,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,233.0,-31.0,1,0,20151028,ORL,WAS
Shot Chart Detail,0021500022,149,203932,Aaron Gordon,1610612753,Orlando Magic,2,10,33,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,0.0,1.0,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,153,203932,Aaron Gordon,1610612753,Orlando Magic,2,9,54,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13.0,-129.0,28.0,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,453,203932,Aaron Gordon,1610612753,Orlando Magic,4,9,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26.0,-150.0,213.0,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500022,522,203932,Aaron Gordon,1610612753,Orlando Magic,4,3,40,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5.0,27.0,46.0,1,1,20151030,ORL,OKC
Shot Chart Detail,0021500043,107,203932,Aaron Gordon,1610612753,Orlando Magic,1,1,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17.0,-151.0,95.0,1,0,20151101,CHI,ORL
Shot Chart Detail,0021500043,120,203932,Aaron Gordon,1610612753,Orlando Magic,1,0,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,15.0,13.0,1,1,20151101,CHI,ORL
Shot Chart Detail,0021500043,181,203932,Aaron Gordon,1610612753,Orlando Magic,2,7,16,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22.0,-225.0,13.0,1,0,20151101,CHI,ORL
Shot Chart Detail,0021500043,362,203932,Aaron Gordon,1610612753,Orlando Magic,3,1,49,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,-42.0,7.0,1,0,20151101,CHI,ORL
Shot Chart Detail,0021500043,417,203932,Aaron Gordon,1610612753,Orlando Magic,4,9,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17.0,63.0,160.0,1,0,20151101,CHI,ORL
Shot Chart Detail,0021500043,466,203932,Aaron Gordon,1610612753,Orlando Magic,4,4,43,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-30.0,2.0,1,1,20151101,CHI,ORL
Shot Chart Detail,0021500043,558,203932,Aaron Gordon,1610612753,Orlando Magic,4,0,2,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,30.0,2.0,1,0,20151101,CHI,ORL
Shot Chart Detail,0021500056,94,203932,Aaron Gordon,1610612753,Orlando Magic,1,3,1,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,14.0,16.0,1,0,20151103,NOP,ORL
Shot Chart Detail,0021500056,108,203932,Aaron Gordon,1610612753,Orlando Magic,1,1,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-11.0,8.0,1,1,20151103,NOP,ORL
Shot Chart Detail,0021500064,84,203932,Aaron Gordon,1610612753,Orlando Magic,1,3,7,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10.0,14.0,105.0,1,0,20151104,HOU,ORL
Shot Chart Detail,0021500064,100,203932,Aaron Gordon,1610612753,Orlando Magic,1,1,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15.0,82.0,134.0,1,1,20151104,HOU,ORL
Shot Chart Detail,0021500064,155,203932,Aaron Gordon,1610612753,Orlando Magic,2,9,11,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-19.0,-1.0,1,0,20151104,HOU,ORL
Shot Chart Detail,0021500064,229,203932,Aaron Gordon,1610612753,Orlando Magic,2,4,4,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,0.0,1.0,1,1,20151104,HOU,ORL
Shot Chart Detail,0021500064,391,203932,Aaron Gordon,1610612753,Orlando Magic,3,2,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-12.0,13.0,1,0,20151104,HOU,ORL
Shot Chart Detail,0021500064,403,203932,Aaron Gordon,1610612753,Orlando Magic,3,0,44,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12.0,55.0,116.0,1,1,20151104,HOU,ORL
Shot Chart Detail,0021500064,454,203932,Aaron Gordon,1610612753,Orlando Magic,4,7,37,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-12.0,7.0,1,1,20151104,HOU,ORL
Shot Chart Detail,0021500064,493,203932,Aaron Gordon,1610612753,Orlando Magic,4,4,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,9.0,0.0,1,1,20151104,HOU,ORL
