GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0041300161,9,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,10,48,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,-38.0,14.0,1,0,20140419,LAC,GSW
Shot Chart Detail,0041300161,77,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,6,15,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-235.0,-2.0,1,0,20140419,LAC,GSW
Shot Chart Detail,0041300161,262,2440,Matt Barnes,1610612746,Los Angeles Clippers,2,4,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,2.0,19.0,1,0,20140419,LAC,GSW
Shot Chart Detail,0041300162,63,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,6,17,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5.0,29.0,44.0,1,1,20140421,LAC,GSW
Shot Chart Detail,0041300162,75,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,5,24,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7.0,-52.0,60.0,1,0,20140421,LAC,GSW
Shot Chart Detail,0041300162,82,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,4,10,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,15.0,7.0,1,1,20140421,LAC,GSW
Shot Chart Detail,0041300162,97,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,2,40,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,237.0,14.0,1,0,20140421,LAC,GSW
Shot Chart Detail,0041300162,361,2440,Matt Barnes,1610612746,Los Angeles Clippers,3,5,17,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24.0,-232.0,69.0,1,0,20140421,LAC,GSW
Shot Chart Detail,0041300162,408,2440,Matt Barnes,1610612746,Los Angeles Clippers,3,1,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,17.0,20.0,1,1,20140421,LAC,GSW
Shot Chart Detail,0041300162,431,2440,Matt Barnes,1610612746,Los Angeles Clippers,4,11,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,231.0,88.0,1,1,20140421,LAC,GSW
Shot Chart Detail,0041300163,22,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,9,37,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25.0,-52.0,246.0,1,0,20140424,GSW,LAC
Shot Chart Detail,0041300163,51,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,6,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,0.0,22.0,1,0,20140424,GSW,LAC
Shot Chart Detail,0041300163,101,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,3,20,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22.0,-229.0,11.0,1,0,20140424,GSW,LAC
Shot Chart Detail,0041300163,278,2440,Matt Barnes,1610612746,Los Angeles Clippers,2,0,34,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,43.0,17.0,1,0,20140424,GSW,LAC
Shot Chart Detail,0041300163,280,2440,Matt Barnes,1610612746,Los Angeles Clippers,2,0,30,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,17.0,15.0,1,0,20140424,GSW,LAC
Shot Chart Detail,0041300163,387,2440,Matt Barnes,1610612746,Los Angeles Clippers,3,4,10,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25.0,200.0,151.0,1,0,20140424,GSW,LAC
Shot Chart Detail,0041300164,17,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,9,29,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26.0,-21.0,263.0,1,0,20140427,GSW,LAC
Shot Chart Detail,0041300164,20,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,8,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-10.0,17.0,1,1,20140427,GSW,LAC
Shot Chart Detail,0041300164,34,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,7,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,4.0,19.0,1,1,20140427,GSW,LAC
Shot Chart Detail,0041300164,52,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,5,48,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25.0,-75.0,239.0,1,1,20140427,GSW,LAC
Shot Chart Detail,0041300164,190,2440,Matt Barnes,1610612746,Los Angeles Clippers,2,5,34,Missed Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-232.0,11.0,1,0,20140427,GSW,LAC
Shot Chart Detail,0041300164,199,2440,Matt Barnes,1610612746,Los Angeles Clippers,2,4,31,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,29.0,30.0,1,0,20140427,GSW,LAC
Shot Chart Detail,0041300164,346,2440,Matt Barnes,1610612746,Los Angeles Clippers,3,4,17,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6.0,0.0,63.0,1,1,20140427,GSW,LAC
Shot Chart Detail,0041300165,2,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,11,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-106.0,236.0,1,0,20140429,LAC,GSW
Shot Chart Detail,0041300165,61,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,6,11,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24.0,245.0,-2.0,1,1,20140429,LAC,GSW
Shot Chart Detail,0041300165,91,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,3,4,Missed Shot,Jump Shot,3PT Field Goal,,,,,,,1,0,20140429,LAC,GSW
Shot Chart Detail,0041300165,211,2440,Matt Barnes,1610612746,Los Angeles Clippers,2,4,44,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24.0,-242.0,7.0,1,1,20140429,LAC,GSW
Shot Chart Detail,0041300165,355,2440,Matt Barnes,1610612746,Los Angeles Clippers,3,2,28,Missed Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10.0,48.0,88.0,1,0,20140429,LAC,GSW
Shot Chart Detail,0041300166,13,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,10,29,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26.0,155.0,213.0,1,1,20140501,GSW,LAC
Shot Chart Detail,0041300166,27,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,9,2,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,230.0,9.0,1,0,20140501,GSW,LAC
Shot Chart Detail,0041300166,40,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,8,2,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20.0,144.0,149.0,1,1,20140501,GSW,LAC
Shot Chart Detail,0041300166,53,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,6,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18.0,-103.0,156.0,1,1,20140501,GSW,LAC
Shot Chart Detail,0041300166,60,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,5,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25.0,133.0,214.0,1,0,20140501,GSW,LAC
Shot Chart Detail,0041300166,264,2440,Matt Barnes,1610612746,Los Angeles Clippers,2,3,12,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26.0,152.0,222.0,1,1,20140501,GSW,LAC
Shot Chart Detail,0041300166,343,2440,Matt Barnes,1610612746,Los Angeles Clippers,2,0,0,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,4.0,16.0,1,0,20140501,GSW,LAC
Shot Chart Detail,0041300166,381,2440,Matt Barnes,1610612746,Los Angeles Clippers,3,6,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,12.0,22.0,1,1,20140501,GSW,LAC
Shot Chart Detail,0041300166,422,2440,Matt Barnes,1610612746,Los Angeles Clippers,3,3,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26.0,132.0,227.0,1,0,20140501,GSW,LAC
Shot Chart Detail,0041300166,536,2440,Matt Barnes,1610612746,Los Angeles Clippers,4,6,42,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26.0,70.0,254.0,1,0,20140501,GSW,LAC
Shot Chart Detail,0041300166,583,2440,Matt Barnes,1610612746,Los Angeles Clippers,4,1,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,6.0,14.0,1,1,20140501,GSW,LAC
Shot Chart Detail,0041300166,607,2440,Matt Barnes,1610612746,Los Angeles Clippers,4,0,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-188.0,176.0,1,1,20140501,GSW,LAC
Shot Chart Detail,0041300167,4,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,11,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26.0,-168.0,201.0,1,0,20140503,LAC,GSW
Shot Chart Detail,0041300167,38,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,7,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-7.0,9.0,1,1,20140503,LAC,GSW
Shot Chart Detail,0041300167,46,2440,Matt Barnes,1610612746,Los Angeles Clippers,1,5,51,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17.0,-172.0,-11.0,1,1,20140503,LAC,GSW
Shot Chart Detail,0041300167,287,2440,Matt Barnes,1610612746,Los Angeles Clippers,3,9,20,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23.0,239.0,12.0,1,0,20140503,LAC,GSW
