GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0042500171,107,1629637,Jaxson Hayes,1610612747,Los Angeles Lakers,1,2,31,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,18,1,1,20260418,LAL,HOU
Shot Chart Detail,0042500172,340,1629637,Jaxson Hayes,1610612747,Los Angeles Lakers,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,118,243,1,0,20260421,LAL,HOU
Shot Chart Detail,0042500172,525,1629637,Jaxson Hayes,1610612747,Los Angeles Lakers,4,11,44,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,13,35,1,1,20260421,LAL,HOU
Shot Chart Detail,0042500173,106,1629637,Jaxson Hayes,1610612747,Los Angeles Lakers,1,4,23,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,15,32,1,1,20260424,HOU,LAL
Shot Chart Detail,0042500173,112,1629637,Jaxson Hayes,1610612747,Los Angeles Lakers,1,4,3,Made Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-9,42,1,1,20260424,HOU,LAL
Shot Chart Detail,0042500173,143,1629637,Jaxson Hayes,1610612747,Los Angeles Lakers,1,2,21,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,16,1,1,20260424,HOU,LAL
Shot Chart Detail,0042500173,294,1629637,Jaxson Hayes,1610612747,Los Angeles Lakers,2,5,37,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,20,1,1,20260424,HOU,LAL
Shot Chart Detail,0042500173,614,1629637,Jaxson Hayes,1610612747,Los Angeles Lakers,4,4,37,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-9,29,1,0,20260424,HOU,LAL
Shot Chart Detail,0042500173,622,1629637,Jaxson Hayes,1610612747,Los Angeles Lakers,4,4,12,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,22,1,0,20260424,HOU,LAL
Shot Chart Detail,0042500173,635,1629637,Jaxson Hayes,1610612747,Los Angeles Lakers,4,2,47,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20260424,HOU,LAL
