PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON
159652639,Adrian Dantley,,,UTA,28,79,,,,37.8,10.2,18.2,0.558,0.0,0.1,0.25,10.3,12.0,0.859,2.3,3.4,5.7,3.9,3.3,0.8,0.1,,2.5,,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-84
633096143,Mark Aguirre,,,DAL,24,79,,,,36.7,11.7,22.3,0.524,0.2,0.7,0.268,5.9,7.9,0.749,2.0,3.9,5.9,4.5,3.6,1.0,0.3,,3.1,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-84
325396841,Kiki Vandeweghe,,,DEN,25,78,,,,35.1,11.5,20.6,0.558,0.1,0.4,0.367,6.3,7.4,0.852,1.1,3.7,4.8,3.1,2.0,0.7,0.6,,2.4,,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-84
354882057,Alex English,,,DEN,30,82,,,,35.0,11.1,20.9,0.529,0.0,0.1,0.143,4.3,5.2,0.824,2.6,3.0,5.7,5.0,2.7,1.0,1.2,,3.1,,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-84
157688051,Bernard King,,,NYK,27,77,,,,34.6,10.3,18.1,0.572,0.0,0.1,0.0,5.7,7.3,0.779,1.6,3.5,5.1,2.1,2.6,1.0,0.2,,3.5,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-84
27383582,George Gervin,,,SAS,31,76,,,,34.0,10.1,20.5,0.49,0.1,0.3,0.417,5.6,6.7,0.842,1.4,2.7,4.1,2.9,2.9,1.0,0.6,,2.9,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-84
203596509,Larry Bird,,,BOS,27,79,,,,38.3,9.6,19.5,0.492,0.2,0.9,0.247,4.7,5.3,0.888,2.3,7.8,10.1,6.6,3.0,1.8,0.9,,2.5,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-84
96694118,Mike Mitchell,,,SAS,28,79,,,,36.1,9.9,20.2,0.488,0.1,0.2,0.429,3.5,4.5,0.779,2.4,4.8,7.2,1.2,1.8,0.8,0.9,,3.2,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-84
376348665,Terry Cummings,,,SDC,22,81,,,,35.9,9.1,18.4,0.494,0.0,0.0,0.0,4.7,6.5,0.72,4.0,5.6,9.6,1.7,2.7,1.1,0.7,,3.7,,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-84
518842419,Purvis Short,,,GSW,26,79,,,,37.3,9.0,19.1,0.473,0.3,0.9,0.306,4.5,5.6,0.793,2.3,3.2,5.5,3.1,2.9,1.3,0.1,,3.2,,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-84
