PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON
994701289,Campy Russell,,,CLE,27,74,,,,38.6,8.1,17.1,0.476,0.0,0.0,,5.6,7.1,0.797,2.0,4.8,6.8,4.7,3.5,1.3,0.3,,3.0,,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
735477739,Elvin Hayes,,,WSB,33,82,,,,37.9,8.8,18.0,0.487,0.0,0.0,,4.3,6.5,0.654,3.8,8.3,12.1,1.7,2.9,0.9,2.3,,3.8,,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
970816612,Otis Birdsong,,,KCK,23,82,,,,34.6,9.0,17.8,0.509,0.0,0.0,,3.6,5.0,0.725,2.1,2.2,4.3,3.4,2.4,1.5,0.2,,3.1,,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
157688051,Bernard King,,,NJN,22,82,,,,34.9,8.7,16.6,0.522,0.0,0.0,,4.3,7.5,0.564,3.1,5.1,8.2,3.6,3.9,1.4,0.5,,4.0,,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
704611939,Truck Robinson,,,2TM,27,69,,,,36.8,8.2,16.7,0.491,0.0,0.0,,4.7,6.7,0.701,2.8,8.8,11.6,1.6,3.4,0.7,1.1,,3.0,,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
704611939,Truck Robinson,,,NOJ,27,43,,,,41.4,9.2,19.0,0.485,0.0,0.0,,5.7,7.9,0.723,3.2,10.2,13.4,1.7,3.3,0.7,1.5,,3.0,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
704611939,Truck Robinson,,,PHO,27,26,,,,29.1,6.5,12.8,0.508,0.0,0.0,,3.0,4.7,0.642,2.2,6.5,8.7,1.5,3.5,0.7,0.5,,2.9,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
841529115,Spencer Haywood,,,2TM,29,68,,,,34.7,8.8,17.7,0.494,0.0,0.0,,3.4,4.3,0.791,2.5,5.3,7.8,1.9,2.9,0.6,1.2,,3.5,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
841529115,Spencer Haywood,,,NYK,29,34,,,,30.1,7.3,15.0,0.489,0.0,0.0,,3.1,4.3,0.733,1.9,4.1,6.1,1.6,2.6,0.3,0.9,,3.2,,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
841529115,Spencer Haywood,,,NOJ,29,34,,,,39.4,10.2,20.5,0.497,0.0,0.0,,3.6,4.3,0.849,3.1,6.5,9.6,2.1,3.3,0.9,1.6,,3.8,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
334019257,Randy Smith,,,SDC,30,82,,,,37.9,8.5,18.6,0.455,0.0,0.0,,3.6,4.4,0.813,1.2,2.4,3.6,4.8,3.1,2.2,0.1,,2.2,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
887427165,Bob Dandridge,,,WSB,31,78,,,,33.7,8.1,16.2,0.499,0.0,0.0,,4.2,5.1,0.825,1.4,4.3,5.7,4.7,2.8,0.9,0.7,,3.3,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
543044921,Maurice Lucas,,,POR,26,69,,,,35.7,8.2,17.5,0.47,0.0,0.0,,3.9,5.0,0.783,2.8,7.6,10.4,3.1,3.4,1.0,1.2,,3.7,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
247417953,Calvin Murphy,,,HOU,30,82,,,,35.9,8.6,17.4,0.496,0.0,0.0,,3.0,3.2,0.928,1.0,1.2,2.1,4.3,2.3,1.4,0.1,,3.5,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
357741812,Phil Smith,,,GSW,26,59,,,,38.8,8.3,16.6,0.501,0.0,0.0,,3.3,4.3,0.761,0.8,2.8,3.6,4.4,2.9,1.7,0.4,,2.7,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
754734323,Brian Winters,,,MIL,26,79,,,,32.6,8.4,17.0,0.493,0.0,0.0,,3.0,3.5,0.856,0.6,1.6,2.2,4.8,3.3,1.1,0.5,,3.1,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
880925260,Doug Collins,,,PHI,27,47,,,,33.9,7.6,15.3,0.499,0.0,0.0,,4.3,5.3,0.814,0.8,1.9,2.6,4.1,2.8,1.1,0.4,,3.0,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
898504582,Gus Williams,,,SEA,25,76,,,,29.8,8.0,16.1,0.495,0.0,0.0,,3.2,4.2,0.775,1.5,1.8,3.2,4.0,2.5,2.1,0.4,,2.1,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
235060387,Cedric Maxwell,,,BOS,23,80,,,,37.1,5.9,10.1,0.584,0.0,0.0,,7.2,9.0,0.802,3.4,6.5,9.9,2.9,3.4,1.2,0.9,,3.3,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
682437193,Rudy Tomjanovich,,,HOU,30,74,,,,35.7,8.4,16.2,0.517,0.0,0.0,,2.3,3.0,0.76,2.3,5.4,7.7,1.9,1.9,0.6,0.2,,2.5,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
850745850,M.L. Carr,,,DET,28,80,,,,40.1,7.3,14.3,0.514,0.0,0.0,,4.0,5.4,0.743,2.7,4.6,7.4,3.3,3.2,2.5,0.6,,3.5,,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
150569617,Jamaal Wilkes,,,LAL,25,82,,,,35.5,7.6,15.1,0.504,0.0,0.0,,3.3,4.4,0.751,2.0,5.4,7.4,2.8,2.7,1.6,0.3,,3.4,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
556757580,Tom Owens,,,POR,29,82,,,,34.0,7.3,13.4,0.548,0.0,0.0,,3.9,4.9,0.794,3.2,5.8,9.0,3.7,3.0,0.7,0.7,,4.0,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
510824533,Johnny Davis,,,IND,23,79,,,,37.6,7.2,15.7,0.456,0.0,0.0,,4.0,5.0,0.793,0.9,1.5,2.4,5.7,2.7,1.2,0.3,,2.2,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
444996411,Scott Wedman,,,KCK,26,73,,,,34.2,7.7,14.4,0.534,0.0,0.0,,3.0,3.7,0.797,1.8,3.4,5.3,2.0,1.5,1.0,0.4,,3.3,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
939039850,Alvan Adams,,,PHO,24,77,,,,30.7,7.4,13.9,0.53,0.0,0.0,,3.0,3.8,0.799,2.9,6.3,9.2,4.7,3.6,1.4,0.8,,3.2,,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
159652639,Adrian Dantley,,,LAL,23,60,,,,29.6,6.2,12.2,0.51,0.0,0.0,,4.9,5.7,0.854,2.2,3.5,5.7,2.3,2.6,1.1,0.2,,2.7,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
493293102,Ricky Sobers,,,IND,26,81,,,,34.9,6.8,14.7,0.463,0.0,0.0,,3.7,4.2,0.882,1.5,2.3,3.7,5.6,3.8,1.7,0.3,,3.9,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
138045481,Ray Williams,,,NYK,24,81,,,,29.3,7.1,15.5,0.457,0.0,0.0,,3.1,3.9,0.802,1.3,2.3,3.6,6.2,3.5,1.6,0.2,,3.4,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
501106320,Robert Parish,,,GSW,25,76,,,,31.7,7.3,14.6,0.499,0.0,0.0,,2.6,3.7,0.698,3.5,8.6,12.1,1.5,3.1,1.3,2.9,,4.0,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
600283403,Norm Nixon,,,LAL,23,82,,,,38.4,7.6,14.0,0.542,0.0,0.0,,1.9,2.5,0.775,0.6,2.2,2.8,9.0,2.8,2.5,0.2,,3.0,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
638081537,Austin Carr,,,CLE,30,82,,,,33.1,6.7,14.2,0.475,0.0,0.0,,3.6,4.4,0.816,1.9,1.6,3.5,2.6,2.1,0.9,0.2,,2.6,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
773013215,Dan Issel,,,DEN,30,81,,,,33.9,6.6,12.7,0.517,0.0,0.0,,3.9,5.2,0.754,3.0,6.1,9.1,3.1,2.1,0.8,0.6,,2.9,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-79
